"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","204","","order.ListOfOrdersTest","","order.ListOfOrdersTest","","testGetOrders",""
"failed","","","185","","order.OrderTest","","order.OrderTest","","testCreateOrder[2]",""
"passed","","","3184","","courier.CourierTest","","courier.CourierTest","","testCreateCourierWithExistingLogin",""
"failed","","","208","","order.OrderTest","","order.OrderTest","","testCreateOrder[1]",""
"passed","","","489","","courier.CourierTest","","courier.CourierTest","","testCreateDuplicateCourier",""
"failed","","","252","","order.OrderTest","","order.OrderTest","","testCreateOrder[0]",""
"passed","","","547","","courier.CourierTest","","courier.CourierTest","","createCourier",""
"failed","","","237","","order.OrderTest","","order.OrderTest","","testCreateOrder[3]",""
