"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 15:29:08 MSK 2023","Mon Oct 16 15:29:09 MSK 2023","631","","courier.CourierTest","","courier.CourierTest","createCourier","Создание курьера","Метод отправляет данные курьера на сервер. В случае успешного выполнения запроса будет получен ответ со статусом 200."
"passed","Mon Oct 16 15:29:03 MSK 2023","Mon Oct 16 15:29:08 MSK 2023","5051","","courier.CourierTest","","courier.CourierTest","testCreateCourierWithExistingLogin","Запрос без логина или пароля","Метод отправляет данные курьера на сервер. В запросе указаны параметры контента без логина или пароля, базовый URL и тело запроса."
"passed","Mon Oct 16 15:29:10 MSK 2023","Mon Oct 16 15:29:10 MSK 2023","512","","order.OrderTest","","order.OrderTest","testCreateOrder[0]","Создание заказа","Отправляет данные о создании заказа на сервер"
"passed","Mon Oct 16 15:29:12 MSK 2023","Mon Oct 16 15:29:13 MSK 2023","700","","order.OrderTest","","order.OrderTest","testCreateOrder[3]","Создание заказа","Отправляет данные о создании заказа на сервер"
"passed","Mon Oct 16 15:29:09 MSK 2023","Mon Oct 16 15:29:10 MSK 2023","855","","courier.CourierTest","","courier.CourierTest","testCreateDuplicateCourier","Запрос с повторяющимся логином","Метод отправляет данные курьера на сервер. В запросе указаны параметры контента c повторяющимся логином, базовый URL и тело запроса."
"passed","Mon Oct 16 15:29:10 MSK 2023","Mon Oct 16 15:29:11 MSK 2023","751","","order.OrderTest","","order.OrderTest","testCreateOrder[1]","Создание заказа","Отправляет данные о создании заказа на сервер"
"passed","Mon Oct 16 15:29:11 MSK 2023","Mon Oct 16 15:29:12 MSK 2023","893","","order.OrderTest","","order.OrderTest","testCreateOrder[2]","Создание заказа","Отправляет данные о создании заказа на сервер"
"passed","Mon Oct 16 15:29:10 MSK 2023","Mon Oct 16 15:29:10 MSK 2023","368","","order.ListOfOrdersTest","","order.ListOfOrdersTest","testGetOrders","Получение списка заказов","Отправляет GET-запрос на получение списка заказов на указанный адрес"
